Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.412996458,-0.194686882,0.220236766,-0.457808334,0.544054856
2.423006458,-0.231961877,0.326855956,-0.613900341,0.733153979
2.433015458,-0.10205986,0.044781038,0.616024634,0.626025484
2.443025458,0.066969011,0.372609395,-0.559461009,0.675514049
2.453035458,0.398498601,0.129485695,-0.066483427,0.424249603
2.463045458,0.006286762,-0.206946995,1.189228354,1.207116672
2.473054458,-0.307709358,-0.006256822,0.12302074,0.331448788
2.483095458,0.139021974,-0.023477681,-0.298092808,0.329753898
2.493105458,0.382505041,-0.090224785,0.181309878,0.4328093
2.503114458,0.166609357,0.055751429,0.017454523,0.176554694
2.513124458,0.134137996,0.068661588,-0.240406517,0.283729993
2.523134458,0.342929112,0.046791393,0.038331422,0.348222785
2.533144458,0.350488173,0.096799212,-0.437769926,0.569082204
2.543153458,0.279979779,0.133197681,-0.698710696,0.764412804
2.553163458,0.05306805,-0.124449516,0.325204008,0.352223717
2.563173458,-0.544694304,-0.394388995,0.198667338,0.70121557
2.573183458,-0.017328169,-0.218865905,-0.338370184,0.403357076
2.583192458,0.090065065,-0.042965743,-0.57723596,0.585797853
2.593233458,0.101404552,-0.350485797,0.604246003,0.705858633
2.603242458,0.141572603,-0.464419342,0.0954365,0.49480931
2.613252458,0.571856156,-0.132646682,-0.884933404,1.061942435
2.623262458,0.492545692,-0.051260744,-0.713921642,0.868857315
2.633272458,0.283103763,-0.028491641,0.461840574,0.542453897
2.643282458,-0.125724894,0.368332669,-0.356287807,0.527652068
2.653291458,-0.264545267,0.348017212,-0.316270047,0.539561786
2.663301458,-0.386281867,-0.039730323,-0.240556206,0.456792587
2.673311458,-0.471828788,-0.026119617,-0.863821447,0.984627916
2.683321458,-0.002673,-0.055365334,0.203097188,0.210525374
2.693330458,-0.105306033,-0.011353159,-0.565840906,0.575668469
2.703340458,-0.381038084,-0.228752688,-0.707249385,0.835296058
2.713380458,-0.357648088,-0.253194305,-0.274971163,0.517328379
